agency_name,county,population,nibrs_start_date,murder_and_nonnegligent_manslaughter,negligent_manslaughter,rape,robbery,assault,burglary,larceny_theft,motor_vehicle_theft,arson,human_trafficking_commercial_sex_acts,human_trafficking_involuntary_servitude,months_reported,report_year,agency_type,university_pd,nibrs_eligible_months,has_preliminary_nibrs_reporting,nibrs_contribution_percentage
PRESIDIO PD,Presidio County,3882,2023-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
PRIMERA PD,Cameron County,4860,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
RANCHO VIEJO PD,Cameron County,2504,2020-11-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
RIO GRANDE CITY ISD PD,Starr County,0,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
RIO GRANDE CITY PD,Starr County,14592,2019-07-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
RIO HONDO PD,Cameron County,2650,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
ROMA ISD PD,Starr County,0,2019-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
ROMA PD,Starr County,10345,2016-12-01,0,0,2,0,113,27,82,22,0,0,0,12,2017-12-31,Police Department,False,12,False,100.0
SAN BENITO PD,Cameron County,24503,2020-11-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
SAN ELIZARIO MARSHALS OFFICE,El Paso County,0,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,,False,0,False,0.0
SAN JUAN PD,Hidalgo County,37114,2016-11-01,1,1,25,22,447,113,725,53,1,0,0,12,2017-12-31,Police Department,False,12,False,100.0
SANTA ROSA ISD PD,Cameron County,0,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
SOCORRO ISD PD,El Paso County,0,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,False,0,False,0.0
SOCORRO PD,El Paso County,33473,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,False,0,False,0.0
