agency_name,corruption_keyword,title,description,published date,url,publisher
MERCEDES PD,officer misconduct,Two Metropolitan Police officers found guilty of gross misconduct for stop and search of Bianca Williams and Ricardo dos Santos - Sky Sports,Two Metropolitan Police officers found guilty of gross misconduct for stop and search of Bianca Williams and Ricardo dos Santos  Sky Sports,"Thu, 26 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiuQFodHRwczovL3d3dy5za3lzcG9ydHMuY29tL21vcmUtc3BvcnRzL25ld3MvMjkxNzUvMTI5OTIzNDcvdHdvLW1ldHJvcG9saXRhbi1wb2xpY2Utb2ZmaWNlcnMtZm91bmQtZ3VpbHR5LW9mLWdyb3NzLW1pc2NvbmR1Y3QtZm9yLXN0b3AtYW5kLXNlYXJjaC1vZi1iaWFuY2Etd2lsbGlhbXMtYW5kLXJpY2FyZG8tZG9zLXNhbnRvc9IBvQFodHRwczovL3d3dy5za3lzcG9ydHMuY29tL2FtcC9tb3JlLXNwb3J0cy9uZXdzLzI5MTc1LzEyOTkyMzQ3L3R3by1tZXRyb3BvbGl0YW4tcG9saWNlLW9mZmljZXJzLWZvdW5kLWd1aWx0eS1vZi1ncm9zcy1taXNjb25kdWN0LWZvci1zdG9wLWFuZC1zZWFyY2gtb2YtYmlhbmNhLXdpbGxpYW1zLWFuZC1yaWNhcmRvLWRvcy1zYW50b3M?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.skysports.com', 'title': 'Sky Sports'}"
MERCEDES PD,officer misconduct,Police say Mercedes superintendent 'interfered' with abuse investigations - MyRGV,Police say Mercedes superintendent 'interfered' with abuse investigations  MyRGV,"Tue, 07 Jun 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMicGh0dHBzOi8vbXlyZ3YuY29tL2xvY2FsLW5ld3MvMjAyMi8wNi8wNy9wb2xpY2Utc2F5LW1lcmNlZGVzLXN1cGVyaW50ZW5kZW50LWludGVyZmVyZWQtd2l0aC1hYnVzZS1pbnZlc3RpZ2F0aW9ucy_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://myrgv.com', 'title': 'MyRGV'}"
MERCEDES PD,officer misconduct,Next Residents of a Luxury Building: Police Horses (Published 2014) - The New York Times,Next Residents of a Luxury Building: Police Horses (Published 2014)  The New York Times,"Mon, 14 Apr 2014 07:00:00 GMT",https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMTQvMDQvMTUvbnlyZWdpb24vbmV4dC1yZXNpZGVudHMtb2YtYS1sdXh1cnktYnVpbGRpbmctcG9saWNlLWhvcnNlcy5odG1s0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.nytimes.com', 'title': 'The New York Times'}"
MERCEDES PD,corruption investigation,"5 wanted for racketeering, money laundering from Bank of America, police say - Atlanta News First","5 wanted for racketeering, money laundering from Bank of America, police say  Atlanta News First","Wed, 06 Dec 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3LmF0bGFudGFuZXdzZmlyc3QuY29tLzIwMjMvMTIvMDYvNS13YW50ZWQtcmFja2V0ZWVyaW5nLW1vbmV5LWxhdW5kZXJpbmctYmFuay1hbWVyaWNhLXBvbGljZS1zYXkv0gF6aHR0cHM6Ly93d3cuYXRsYW50YW5ld3NmaXJzdC5jb20vMjAyMy8xMi8wNi81LXdhbnRlZC1yYWNrZXRlZXJpbmctbW9uZXktbGF1bmRlcmluZy1iYW5rLWFtZXJpY2EtcG9saWNlLXNheS8_b3V0cHV0VHlwZT1hbXA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.atlantanewsfirst.com', 'title': 'Atlanta News First'}"
MERCEDES PD,corruption investigation,"Gwinnett County PD looking for alleged mastermind, accomplices behind $420K bank fraud - FOX 5 Atlanta","Gwinnett County PD looking for alleged mastermind, accomplices behind $420K bank fraud  FOX 5 Atlanta","Wed, 06 Dec 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMidWh0dHBzOi8vd3d3LmZveDVhdGxhbnRhLmNvbS9uZXdzL2d3aW5uZXR0LWNvdW50eS1wZC1sb29raW5nLWZvci1hbGxlZ2VkLW1hc3Rlcm1pbmQtYWNjb21wbGljZXMtYmVoaW5kLTQyMGstYmFuay1mcmF1ZNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.fox5atlanta.com', 'title': 'FOX 5 Atlanta'}"
MERCEDES PD,corruption investigation,"Wife of Bob Menendez killed man in car accident, report shows - NorthJersey.com","Wife of Bob Menendez killed man in car accident, report shows  NorthJersey.com","Wed, 04 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMihAFodHRwczovL3d3dy5ub3J0aGplcnNleS5jb20vc3RvcnkvbmV3cy9uZXctamVyc2V5LzIwMjMvMTAvMDQvYm9iLW1lbmVuZGV6LXdpZmUtY2FyLWFjY2lkZW50LWJvZ290YS1uai1wb2xpY2UtaW5kaWN0bWVudC83MTA1MTQyNzAwNy_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.northjersey.com', 'title': 'NorthJersey.com'}"
MERCEDES PD,corruption investigation,Inside the Menendez Indictment: A Mercedes and a Secretive Fatal Crash - The New York Times,Inside the Menendez Indictment: A Mercedes and a Secretive Fatal Crash  The New York Times,"Wed, 04 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjMvMTAvMDQvbnlyZWdpb24vbmFkaW5lLW1lbmVuZGV6LW1lcmNlZGVzLWRlYXRoLmh0bWzSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.nytimes.com', 'title': 'The New York Times'}"
MERCEDES PD,corruption investigation,"Nadine Menendez car crash: Deadly accident in Bogota, NJ gets renewed attention after indictment on bribery charges - WABC-TV","Nadine Menendez car crash: Deadly accident in Bogota, NJ gets renewed attention after indictment on bribery charges  WABC-TV","Wed, 04 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vYWJjN255LmNvbS9uYWRpbmUtbWVuZW5kZXotZGVhZGx5LWNhci1jcmFzaC1ib2dvdGEtbmotc2VuYXRvci1ib2IvMTM4NjQzMTMv0gFXaHR0cHM6Ly9hYmM3bnkuY29tL2FtcC9uYWRpbmUtbWVuZW5kZXotZGVhZGx5LWNhci1jcmFzaC1ib2dvdGEtbmotc2VuYXRvci1ib2IvMTM4NjQzMTMv?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://abc7ny.com', 'title': 'WABC-TV'}"
MERCEDES PD,corruption investigation,NJ Sen. Bob Menendez allegedly took Mercedes bribe after wife-to-be killed man in 2018 car crash: reports - New York Post,NJ Sen. Bob Menendez allegedly took Mercedes bribe after wife-to-be killed man in 2018 car crash: reports  New York Post ,"Wed, 04 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vbnlwb3N0LmNvbS8yMDIzLzEwLzA0L25qLXNlbi1ib2ItbWVuZW5kZXpzLXdpZmUtdG8tYmUta2lsbGVkLW1hbi1pbi0yMDE4LWNhci1jcmFzaC1yZXBvcnRzL9IBZ2h0dHBzOi8vbnlwb3N0LmNvbS8yMDIzLzEwLzA0L25qLXNlbi1ib2ItbWVuZW5kZXpzLXdpZmUtdG8tYmUta2lsbGVkLW1hbi1pbi0yMDE4LWNhci1jcmFzaC1yZXBvcnRzL2FtcC8?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://nypost.com', 'title': 'New York Post'}"
MERCEDES PD,corruption investigation,New Jersey Attorney General opens inquiry into police handling of Bob Menendez's wife's 2018 fatal crash as it - Daily Mail,New Jersey Attorney General opens inquiry into police handling of Bob Menendez's wife's 2018 fatal crash as it  Daily Mail,"Fri, 06 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiyAFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvbmV3cy9hcnRpY2xlLTEyNjAyMjUxL05ldy1KZXJzZXktY29wLXJ1c2hlZC1oZWxwLUJvYi1NZW5lbmRlenMtd2lmZS1NZXJjZWRlcy1jcmFzaC1kZXNwaXRlLXJldGlyZWQtY29udmluY2VkLXBhdHJvbG1hbi1kdXR5LWxldC13aXRob3V0LXNvYnJpZXR5LXRlc3QtaGF2aW5nLWhhbmQtcGhvbmUuaHRtbNIBzAFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvbmV3cy9hcnRpY2xlLTEyNjAyMjUxL2FtcC9OZXctSmVyc2V5LWNvcC1ydXNoZWQtaGVscC1Cb2ItTWVuZW5kZXpzLXdpZmUtTWVyY2VkZXMtY3Jhc2gtZGVzcGl0ZS1yZXRpcmVkLWNvbnZpbmNlZC1wYXRyb2xtYW4tZHV0eS1sZXQtd2l0aG91dC1zb2JyaWV0eS10ZXN0LWhhdmluZy1oYW5kLXBob25lLmh0bWw?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.dailymail.co.uk', 'title': 'Daily Mail'}"
